baseline,estimate,upper,lower,NL,Model,dropped
0,-0.009959537649906054,0.05113794381053818,-0.07105701911035028,8,TNL8,DNK
25,-0.29448530642825316,-0.1719240758749928,-0.4170465369815135,8,TNL8,DNK
30,-0.3513904601839226,-0.19971929056097948,-0.5030616298068658,8,TNL8,DNK
0,0.06972660046003848,0.14286161350929547,-0.003408412589218507,9,TNL9,DNK
25,-0.2019715072102528,-0.06418287453098145,-0.33976013988952414,9,TNL9,DNK
30,-0.25631112874431106,-0.08775498516412863,-0.4248672723244935,9,TNL9,DNK
0,-0.10149120116215879,-0.0054911533093947446,-0.19749124901492282,10,TNL10,DNK
25,-0.32835592422176324,-0.1753540726645252,-0.4813577757790013,10,TNL10,DNK
30,-0.3737288688336842,-0.1900679831544042,-0.5573897545129642,10,TNL10,DNK
0,-0.00720641183363682,0.053946851879402964,-0.0683596755466766,8,TNL8,ECU
25,-0.28528063766398337,-0.16209245973959266,-0.4084688155883741,8,TNL8,ECU
30,-0.3408954828300527,-0.18830362908265774,-0.4934873365774477,8,TNL8,ECU
0,0.06700905989619672,0.1400392304620512,-0.006021110669657756,9,TNL9,ECU
25,-0.18084069720876284,-0.0424872095315402,-0.3191941848859855,9,TNL9,ECU
30,-0.23041064862975474,-0.06095563984279209,-0.3998656574167174,9,TNL9,ECU
0,-0.10077183105292878,-0.005277327174923144,-0.19626633493093443,10,TNL10,ECU
25,-0.3101517941138766,-0.15643853962010437,-0.4638650486076489,10,TNL10,ECU
30,-0.35202778672606627,-0.16728800963460938,-0.5367675638175231,10,TNL10,ECU
0,-0.00659126367946263,0.054362496600442116,-0.06754502395936737,8,TNL8,EGY
25,-0.2915547457052453,-0.1696391918166359,-0.41347029959385473,8,TNL8,EGY
30,-0.3485474421104019,-0.19752910476985172,-0.49956577945095204,8,TNL8,EGY
0,0.07122158903889006,0.14399631411347724,-0.0015531360356971363,9,TNL9,EGY
25,-0.20195266082041194,-0.06476611289533848,-0.3391392087454854,9,TNL9,EGY
30,-0.2565875107922724,-0.08861094264896135,-0.4245640789355834,9,TNL9,EGY
0,-0.09856198723981527,-0.003054736837454261,-0.19406923764217626,10,TNL10,EGY
25,-0.3224459530754105,-0.1699649712368593,-0.47492693491396176,10,TNL10,EGY
30,-0.36722274624252954,-0.18405861719737063,-0.5503868752876885,10,TNL10,EGY
0,-0.0023661580720705042,0.058968173680786946,-0.06370048982492796,8,TNL8,ESP
25,-0.30595793484887623,-0.18349611545149663,-0.42841975424625584,8,TNL8,ESP
30,-0.3666762902042373,-0.21502398444236498,-0.5183285959661097,8,TNL8,ESP
0,0.07478012258333383,0.14799934942304677,0.0015608957436208937,9,TNL9,ESP
25,-0.21772934301601496,-0.08045075101463744,-0.3550079350173925,9,TNL9,ESP
30,-0.27623123613588463,-0.10811523313104524,-0.44434723914072405,9,TNL9,ESP
0,-0.09913711631438514,-0.003083709827649231,-0.19519052280112104,10,TNL10,ESP
25,-0.34916906412976767,-0.1968563178543025,-0.5014818104052329,10,TNL10,ESP
30,-0.3991754536928443,-0.21618561593778993,-0.5821652914478986,10,TNL10,ESP
0,-0.014430706089749275,0.04700657621372324,-0.0758679883932218,8,TNL8,EST
25,-0.2830322742640404,-0.16100986099030304,-0.40505468753777774,8,TNL8,EST
30,-0.33675258789889856,-0.18585737743302208,-0.487647798364775,8,TNL8,EST
0,0.06635489783677204,0.13999249362361035,-0.00728269795006628,9,TNL9,EST
25,-0.1881887484006989,-0.05060591346893925,-0.3257715833324586,9,TNL9,EST
30,-0.23909747764819309,-0.07086644051403404,-0.4073285147823521,9,TNL9,EST
0,-0.11211901330422705,-0.016408743156628117,-0.207829283451826,10,TNL10,EST
25,-0.31029936170588723,-0.15763560408118799,-0.4629631193305865,10,TNL10,EST
30,-0.34993543138621935,-0.16669730753959958,-0.5331735552328392,10,TNL10,EST
0,-0.005371235064683065,0.055744345321656556,-0.06648681545102268,8,TNL8,ETH
25,-0.29249162938640355,-0.17035748082879282,-0.4146257779440143,8,TNL8,ETH
30,-0.34991570825074764,-0.19861164424085817,-0.5012197722606371,8,TNL8,ETH
0,0.07352282154465849,0.14652581977076462,5.198233185523399e-4,9,TNL9,ETH
25,-0.20062514552378277,-0.0633065803818795,-0.33794371066568607,9,TNL9,ETH
30,-0.25545473893747095,-0.08728045048731475,-0.42362902738762714,9,TNL9,ETH
0,-0.09802018353607558,-0.0024351975187745095,-0.19360516955337664,10,TNL10,ETH
25,-0.32741400268091636,-0.17483436029070237,-0.47999364507113035,10,TNL10,ETH
30,-0.3732927665098845,-0.1899603427865025,-0.5566251902332665,10,TNL10,ETH
0,-0.00482621228212266,0.05770852812594892,-0.06736095269019424,8,TNL8,FIN
25,-0.2934939198019141,-0.17155321899735243,-0.41543462060647574,8,TNL8,FIN
30,-0.3512274613058724,-0.2001904325741019,-0.502264490037643,8,TNL8,FIN
0,0.07683304926303994,0.15155796104534502,0.0021081374807348646,9,TNL9,FIN
25,-0.20231751550825813,-0.06501303385911492,-0.3396219971574014,9,TNL9,FIN
30,-0.25814762846251776,-0.09005049244026525,-0.4262447644847703,9,TNL9,FIN
0,-0.09112738460131159,0.005690404708454708,-0.1879451739110779,10,TNL10,FIN
25,-0.33004516811262224,-0.17731626591878893,-0.4827740703064556,10,TNL10,FIN
30,-0.3778287248148844,-0.19443850481398817,-0.5612189448157806,10,TNL10,FIN
0,-0.007607986670710823,0.05341209194752086,-0.06862806528894251,8,TNL8,FRA
25,-0.2962388818636284,-0.17345188746895424,-0.41902587625830257,8,TNL8,FRA
30,-0.353965060902212,-0.201945935526008,-0.505984186278416,8,TNL8,FRA
0,0.07045503726694424,0.14346731878689828,-0.0025572442530098077,9,TNL9,FRA
25,-0.2047581174288487,-0.06670522958950911,-0.3428110052681883,9,TNL9,FRA
30,-0.25980074836800726,-0.09080688178437032,-0.42879461495164417,9,TNL9,FRA
0,-0.10306873782478511,-0.007461030158791709,-0.1986764454907785,10,TNL10,FRA
25,-0.3352514406894051,-0.1823114219960194,-0.4881914593827908,10,TNL10,FRA
30,-0.3816879812623291,-0.19797946383287565,-0.5653964986917825,10,TNL10,FRA
0,-0.003512255719491918,0.057677287798478534,-0.06470179923746237,8,TNL8,GBR
25,-0.2888775591287122,-0.16665729370029725,-0.4110978245571272,8,TNL8,GBR
30,-0.34595061981055625,-0.1945314012815142,-0.4973698383395983,8,TNL8,GBR
0,0.07610433590666073,0.14923776504752223,0.002970906765799239,9,TNL9,GBR
25,-0.19610405332009725,-0.05863918376701291,-0.33356892287318163,9,TNL9,GBR
30,-0.25054573116544887,-0.08217619385606956,-0.4189152684748282,9,TNL9,GBR
0,-0.09661833182004846,-9.324386387173367e-4,-0.1923042250013796,10,TNL10,GBR
25,-0.32358316179132385,-0.17089339927552255,-0.47627292430712515,10,TNL10,GBR
30,-0.36897612778557887,-0.18553120294276088,-0.5524210526283968,10,TNL10,GBR
0,-0.0064227937951000635,0.054820536746096,-0.06766612433629612,8,TNL8,GEO
25,-0.29326364718198994,-0.17104958910089502,-0.41547770526308486,8,TNL8,GEO
30,-0.3506318178593679,-0.19923999338516188,-0.502023642333574,8,TNL8,GEO
0,0.07226296812916475,0.14544101747946775,-9.150812211382586e-4,9,TNL9,GEO
25,-0.2024403866391433,-0.06503272555200301,-0.3398480477262836,9,TNL9,GEO
30,-0.2573810575928049,-0.08909210613200766,-0.4256700090536021,9,TNL9,GEO
0,-0.1006968767051675,-0.004990952613237856,-0.19640280079709715,10,TNL10,GEO
25,-0.3280898451231535,-0.1755006722330335,-0.48067901801327345,10,TNL10,GEO
30,-0.3735684388067507,-0.19022787580472164,-0.5569090018087798,10,TNL10,GEO
0,-0.004567999564607598,0.056529423593950315,-0.06566542272316551,8,TNL8,GRC
25,-0.2904227975844402,-0.16768494068030843,-0.4131606544885719,8,TNL8,GRC
30,-0.3475937571884066,-0.1955830247996017,-0.49960448957721154,8,TNL8,GRC
0,0.07483211839383103,0.1478378936690865,0.0018263431185755602,9,TNL9,GRC
25,-0.2006418985421746,-0.06288953300413566,-0.33839426408021356,9,TNL9,GRC
30,-0.25573670192937586,-0.08705613670585857,-0.4244172671528932,9,TNL9,GRC
0,-0.09613618353454352,-4.954460825322415e-4,-0.1917769209865548,10,TNL10,GRC
25,-0.3316499066165853,-0.17882668408274685,-0.48447312915042373,10,TNL10,GRC
30,-0.37875265123299356,-0.1951512710998774,-0.5623540313661097,10,TNL10,GRC
0,-0.004690027536133361,0.05639281613683383,-0.06577287120910055,8,TNL8,GTM
25,-0.2926553672221383,-0.1705547985901109,-0.4147559358541657,8,TNL8,GTM
30,-0.35024843515933934,-0.19898979884743964,-0.5015070714712391,8,TNL8,GTM
0,0.07344684486875615,0.1463893399560568,5.043497814554848e-4,9,TNL9,GTM
25,-0.20070010378134714,-0.06342303429175469,-0.33797717327093957,9,TNL9,GTM
30,-0.25552949351136783,-0.08740831963914783,-0.4236506673835878,9,TNL9,GTM
0,-0.09824026738239913,-0.002695171804757729,-0.19378536296004054,10,TNL10,GTM
25,-0.3267363195617247,-0.17424291503384312,-0.4792297240896063,10,TNL10,GTM
30,-0.37243552999758994,-0.18920256155328063,-0.5556684984418993,10,TNL10,GTM
0,-0.013352592036942529,0.047700370132840626,-0.07440555420672568,8,TNL8,HND
